system_id,provenance_dimension,provenance_subset,comparison,taxonomy_condition,matched_issue_count,matched_repository_count,minimum_matched_issues_per_repository,maximum_matched_issues_per_repository,t0_exact_macro_f1_pooled,condition_exact_macro_f1_pooled,pooled_delta_macro_f1,equal_repository_mean_delta_macro_f1,negative_repository_delta_count,pairing_rule,analysis_status
glm-5.2,inferred_resume_segment,invocation_001,T1-T0,T1,538,5,100,118,0.75280992652852985,0.72991398964283805,-0.022895936885691803,-0.026731444034037554,5,each Tj-T0 contrast uses its own issue-id intersection within the same provenance subset; no five-condition intersection is required,post-result descriptive sensitivity; no causal or population-inference claim
glm-5.2,inferred_resume_segment,invocation_001,T2-T0,T2,538,5,93,118,0.73202860720392282,0.70944004796451399,-0.022588559239408834,-0.02248234086981149,5,each Tj-T0 contrast uses its own issue-id intersection within the same provenance subset; no five-condition intersection is required,post-result descriptive sensitivity; no causal or population-inference claim
glm-5.2,inferred_resume_segment,invocation_001,T3-T0,T3,558,5,97,119,0.7331271252867273,0.70640644623577975,-0.026720679050947549,-0.029638181059586287,5,each Tj-T0 contrast uses its own issue-id intersection within the same provenance subset; no five-condition intersection is required,post-result descriptive sensitivity; no causal or population-inference claim
glm-5.2,inferred_resume_segment,invocation_001,T4-T0,T4,512,5,92,124,0.72976190476190483,0.70277836827869222,-0.026983536483212611,-0.027192798873738065,5,each Tj-T0 contrast uses its own issue-id intersection within the same provenance subset; no five-condition intersection is required,post-result descriptive sensitivity; no causal or population-inference claim
glm-5.2,inferred_resume_segment,invocation_004,T1-T0,T1,233,5,38,53,0.72626393658962485,0.71074910842548034,-0.015514828164144512,-0.016570913362689142,4,each Tj-T0 contrast uses its own issue-id intersection within the same provenance subset; no five-condition intersection is required,post-result descriptive sensitivity; no causal or population-inference claim
glm-5.2,inferred_resume_segment,invocation_004,T2-T0,T2,242,5,44,51,0.75310627106333028,0.70900211936626512,-0.044104151697065164,-0.038297937104013767,5,each Tj-T0 contrast uses its own issue-id intersection within the same provenance subset; no five-condition intersection is required,post-result descriptive sensitivity; no causal or population-inference claim
glm-5.2,inferred_resume_segment,invocation_004,T3-T0,T3,262,5,46,64,0.72631250885394538,0.72339283261399212,-0.0029196762399532616,-0.0075277243687281057,3,each Tj-T0 contrast uses its own issue-id intersection within the same provenance subset; no five-condition intersection is required,post-result descriptive sensitivity; no causal or population-inference claim
glm-5.2,inferred_resume_segment,invocation_004,T4-T0,T4,230,5,37,54,0.72835960127021426,0.71525241696144137,-0.01310718430877289,-0.0087134423783384422,2,each Tj-T0 contrast uses its own issue-id intersection within the same provenance subset; no five-condition intersection is required,post-result descriptive sensitivity; no causal or population-inference claim
glm-5.2,provider_response_model,accounts/fireworks/models/glm-5p2,T1-T0,T1,233,5,38,53,0.72626393658962485,0.71074910842548034,-0.015514828164144512,-0.016570913362689142,4,each Tj-T0 contrast uses its own issue-id intersection within the same provenance subset; no five-condition intersection is required,post-result descriptive sensitivity; no causal or population-inference claim
glm-5.2,provider_response_model,accounts/fireworks/models/glm-5p2,T2-T0,T2,242,5,44,51,0.75310627106333028,0.70900211936626512,-0.044104151697065164,-0.038297937104013767,5,each Tj-T0 contrast uses its own issue-id intersection within the same provenance subset; no five-condition intersection is required,post-result descriptive sensitivity; no causal or population-inference claim
glm-5.2,provider_response_model,accounts/fireworks/models/glm-5p2,T3-T0,T3,262,5,46,64,0.72631250885394538,0.72339283261399212,-0.0029196762399532616,-0.0075277243687281057,3,each Tj-T0 contrast uses its own issue-id intersection within the same provenance subset; no five-condition intersection is required,post-result descriptive sensitivity; no causal or population-inference claim
glm-5.2,provider_response_model,accounts/fireworks/models/glm-5p2,T4-T0,T4,230,5,37,54,0.72835960127021426,0.71525241696144137,-0.01310718430877289,-0.0087134423783384422,2,each Tj-T0 contrast uses its own issue-id intersection within the same provenance subset; no five-condition intersection is required,post-result descriptive sensitivity; no causal or population-inference claim
glm-5.2,provider_response_model,frank/GLM-5.2,T1-T0,T1,391,5,66,85,0.77253978268489309,0.74988782152261046,-0.02265196116228263,-0.02541540390401369,5,each Tj-T0 contrast uses its own issue-id intersection within the same provenance subset; no five-condition intersection is required,post-result descriptive sensitivity; no causal or population-inference claim
