system_id,taxonomy_condition,repeat_id,raw_checkpoint_record_count,unique_raw_task_count,terminal_error_checkpoint_record_count,unique_terminal_error_task_count,recovered_after_terminal_error_task_count,unresolved_raw_task_count,canonical_task_count,canonical_successful_task_count,canonical_invalid_output_count,canonical_empty_response_count,canonical_rows_with_in_batch_retry,canonical_in_batch_retry_attempt_count,first_success_start_utc,last_success_end_utc,analysis_status
deepseek-v4-flash,T0,1,150,150,0,0,0,0,150,150,0,0,0,0,2026-07-12T04:47:18+00:00,2026-07-12T21:21:37+00:00,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
deepseek-v4-flash,T0,2,150,150,0,0,0,0,150,150,0,0,0,0,2026-07-12T04:46:57+00:00,2026-07-12T21:21:30+00:00,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
deepseek-v4-flash,T0,3,150,150,0,0,0,0,150,150,0,0,0,0,2026-07-12T04:47:25+00:00,2026-07-12T21:21:43+00:00,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
deepseek-v4-flash,T3,1,150,150,0,0,0,0,150,150,2,2,0,0,2026-07-12T04:48:00+00:00,2026-07-12T21:21:36+00:00,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
deepseek-v4-flash,T3,2,150,150,0,0,0,0,150,150,1,1,0,0,2026-07-12T04:48:05+00:00,2026-07-12T21:21:39+00:00,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
deepseek-v4-flash,T3,3,150,150,0,0,0,0,150,150,1,1,0,0,2026-07-12T04:47:01+00:00,2026-07-12T21:21:41+00:00,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
glm-5.2,T0,1,150,150,0,0,0,0,150,150,0,0,0,0,2026-07-12T04:46:57+00:00,2026-07-12T21:20:53+00:00,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
glm-5.2,T0,2,150,150,0,0,0,0,150,150,0,0,0,0,2026-07-12T04:48:14+00:00,2026-07-12T21:21:44+00:00,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
glm-5.2,T0,3,150,150,0,0,0,0,150,150,0,0,0,0,2026-07-12T04:46:57+00:00,2026-07-12T21:20:12+00:00,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
glm-5.2,T3,1,150,150,0,0,0,0,150,150,1,0,0,0,2026-07-12T04:47:17+00:00,2026-07-12T21:21:33+00:00,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
glm-5.2,T3,2,150,150,0,0,0,0,150,150,0,0,0,0,2026-07-12T04:47:13+00:00,2026-07-12T21:21:46+00:00,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
glm-5.2,T3,3,150,150,0,0,0,0,150,150,0,0,0,0,2026-07-12T04:47:01+00:00,2026-07-12T21:21:41+00:00,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
kimi-k2.7-code,T0,1,150,150,0,0,0,0,150,150,0,0,0,0,2026-07-12T04:47:17+00:00,2026-07-12T21:21:54+00:00,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
kimi-k2.7-code,T0,2,150,150,0,0,0,0,150,150,0,0,0,0,2026-07-12T04:47:00+00:00,2026-07-12T21:21:57+00:00,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
kimi-k2.7-code,T0,3,150,150,0,0,0,0,150,150,0,0,0,0,2026-07-12T04:47:14+00:00,2026-07-12T21:21:40+00:00,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
kimi-k2.7-code,T3,1,150,150,0,0,0,0,150,150,2,2,0,0,2026-07-12T04:46:57+00:00,2026-07-12T21:21:54+00:00,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
kimi-k2.7-code,T3,2,150,150,0,0,0,0,150,150,1,1,0,0,2026-07-12T04:46:59+00:00,2026-07-12T21:21:27+00:00,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
kimi-k2.7-code,T3,3,150,150,0,0,0,0,150,150,4,4,0,0,2026-07-12T04:46:59+00:00,2026-07-12T21:21:47+00:00,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
